CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
COMM 30 Lab (34103),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 01:00 PM - 2:30pm,VARI 132,"Silva, Fernando A.",N/A,2
COMM 30 (34093),Intro to Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 02:00 PM - 3:40pm,VARI 109,"Opper, Nicole Poppe",5.00,None
COMM 30 Lab (34095),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",T 02:00 PM - 3:30pm,VARI 132,"Reese, Emily Ray",N/A,None
COMM 30 Lab (35471),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",R 02:00 PM - 3:30pm,VARI 132,"Reese, Emily Ray",N/A,None
COMM 30 Lab (35470),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",F 02:15 PM - 3:45pm,VARI 132,"Reese, Emily Ray",N/A,None
COMM 30 Lab (34104),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 02:45 PM - 4:15pm,VARI 132,"Silva, Fernando A.",N/A,None
COMM 30 Lab (34101),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",T 03:50 PM - 5:20pm,VARI 132,"Reese, Emily Ray",N/A,None
COMM 30 Lab (35472),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",R 03:50 PM - 5:20pm,VARI 132,"Reese, Emily Ray",N/A,None
COMM 30 (34094),Intro to Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 08:30 AM - 10:10am,VARI 109,"Ferraris, Amy",5.00,None
COMM 30 Lab (34102),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 10:30 AM - 12pm,VARI 132,"Reese, Emily Ray",N/A,None
COMM 30 Lab (35473),Intro to Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",F 10:30 AM - 12pm,VARI 132,"Silva, Fernando A.",N/A,None
COMM 30 (34092),Intro to Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 12:10 PM - 1:50pm,VARI 109,"Reese, Emily Ray",5.00,None
COMM 132B Lab (34088),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",W 01:00 PM - 2:30pm,VARI 109,"Reese, Emily Ray",N/A,None
COMM 132B Lab (34089),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",W 02:45 PM - 4:15pm,VARI 109,"Reese, Emily Ray",N/A,2
COMM 132B (34086),Short Documentary Production,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",TR 10:20 AM - 12pm,VARI 109,"Opper, Nicole Poppe",5.00,4
COMM 132B Lab (34090),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",F 11:45 AM - 1:15pm,VARI 109,"Reese, Emily Ray",N/A,2
ENGL 122AW (35628),"Film, Gender, & Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Advanced Writing, Diversity",MWF 01:00 PM - 2:05pm,ONLINE,"Tremblay-McGaw, Robin J",5.00,None
WGST 134AW (36042),"Film, Gender, & Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Advanced Writing, Diversity",MWF 01:00 PM - 2:05pm,ONLINE,"Tremblay-McGaw, Robin J",5.00,None
CHST 4 (34135),Cultural Competence & Humility,"Democracy (Pathway), Civic Engagement, Diversity",MWF 08:00 AM - 9:05am,ONLINE,"Day, Elizabeth B",4.00,None
COMM 108A (35613),Communication and Gender,"Democracy (Pathway), Gender, Sexuality & the Body (Pathway)",MW 03:30 PM - 5:15pm,VARI 134,"Ellingson, Laura L",5.00,None
COMM 127A (35614),Media and Social Movements,"Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,VARI 129,"Sarkar, Sreela",5.00,None
