COURSE TAG,COURSE NAME,CORES SATISFIED
COEN 21 (51236),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21 (51237),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21 (51235),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21 (51506),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21L (51238),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21L (51239),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21L (51241),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21L (51242),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21L (51507),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
COEN 21L (51240),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
COMM 12 (50023),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
COMM 12 (50041),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
COMM 12 (50022),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 (50286),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 Lab (50287),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 Lab (50288),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 Lab (50289),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 Lab (50296),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 (50284),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 (50285),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
DANC 49 (50306),Dance Composition,"Design Thinking (Pathway), Arts"
ECON 1 (51037),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51039),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51045),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51042),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51043),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51055),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51017),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51018),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51044),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51034),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ELEN 21 (51313),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21 (51314),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21 (51312),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21 (51512),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51315),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51316),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51318),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51319),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51513),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51317),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELSJ 135 (51406),Research:Social Entrepreneursh,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society"
ENGL 181 (50365),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS"
ENGR 19 Lab (51518),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 Lab (51862),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 (51352),Ethics in Technology L&L,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 Lab (51358),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 Lab (51372),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 110 (51351),Community Based Engr. Design,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement"
ENVS 21 Lab (50421),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 21 Lab (50422),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 21 (50420),Environmental Biology,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 50 (51450),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ENVS 146 (50425),"Agri, Env & Dev: Latin America","Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
HIST 27 (51632),Public & Digital History,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Civic Engagement"
HIST 79 (50473),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society"
HIST 127 (51638),Public & Digital History,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Civic Engagement"
HIST 179 (50474),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society"
MECH 10L (51375),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51377),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51388),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51519),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51520),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51376),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51403),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MGMT 40 (51715),Found Knldg of Mgning Sustain,"Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
MGMT 110 (51720),Global Microfin for Entrep Dev,"Design Thinking (Pathway), Experiential Learning for Social Justice"
MGMT 164 (51090),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)"
MGMT 176 (51915),Sustainable Food Systems,"Design Thinking (Pathway), Feeding the World (Pathway), Values Science Technology (Pathway)"
OMIS 105 (51139),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)"
OMIS 105 (51157),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)"
OMIS 107 (51161),Systems Programming,"Design Thinking (Pathway), The Digital Age (Pathway)"
SOCI 185 (51870),Social Entrepreneurship,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society"
THTR 32 (50915),Costume Construction,"Design Thinking (Pathway), Arts"
THTR 33 (50906),Stage Lighting,"Design Thinking (Pathway), Arts"
ANTH 50 (50006),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ANTH 133 (51531),Human Nutrition & Culture,"Feeding the World (Pathway), Values Science Technology (Pathway), Science Technology & Society"
ANTH 185 (51535),"Culture, Politics, & Power","Feeding the World (Pathway), Cultures and Ideas 3"
ECON 134 (51052),African Economic Development,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ENVS 50 (50415),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
POLI 40 (50775),Politics of US Econ Policies,"Feeding the World (Pathway), Social Science"
SOCI 165 (50854),Human Services,"Feeding the World (Pathway), Race Place & Soc Inequalities (Pathway), Experiential Learning for Social Justice"
HIST 116S (51637),Sex & Gender:High Imperialism,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
HIST 136 (51639),Postwar Europe: Gender & Race,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3"
HIST 150 (51640),Gender&Sexuality in East Asia,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
WGST 124 (51700),Sex & Gender:High Imperialism,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
WGST 126 (51702),Gender&Sexuality in East Asia,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
WGST 172 (51706),Postwar Europe: Gender & Race,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3"
ENGL 144G (51610),18th Century Women British Lit,"Gender, Sexuality & the Body (Pathway)"
ETHN 54A (52008),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Diversity"
ETHN 154 (50449),Women of Color in the US,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 154A (51625),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science"
SOCI 126 (51686),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science"
WGST 25 (51698),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Diversity"
WGST 51 (50933),Introduction to LGBTQ Studies,"Gender, Sexuality & the Body (Pathway), Diversity"
WGST 125 (51701),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science"
WGST 141A (51704),18th Cent. Women British Lit,"Gender, Sexuality & the Body (Pathway)"
POLI 142 (50784),Politics in Middle East,"Islamic Studies (Pathway), Politics & Religion (Pathway)"
SCTR 19 (50836),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1"
